Latitude,Longitude,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,TDS,SiO2
21.0305556,70.24166667,6.7,6701,0,610,1830,255,23,0.06506720039,1950,688,56,625,22.29,0.15,4490,0
21.2666667,70.20833333,7.5,1060,0,342,128,45,41,0.06506720039,430,68,63,44,1.76,0.33,710,0
21.0444444,70.19166667,7.6,4830,0,732,1241,50,20,0.06506720039,1035,242,105,635,10.16,0.18,3236,0
21.0638889,70.17361111,7.7,7880,0,244,2482,216,14,0.06506720039,2150,680,109,815,0.39,0.22,5280,0
21.0541667,70.20833333,7.7,723,0,128,106,78,40,0.06506720039,220,80,5,65,1.32,0.58,484,0
21.16666667,70.06666667,7.2,1256,0,268,213,45,73,0.06506720039,410,144,12,88,20.19,0.36,842,0
21.13055556,70.11944444,7.5,2575,0,366,596,98,44,0.06506720039,530,120,56,325,36.57,0.27,1725,0
21.15,70.12805556,7.4,1922,0,232,479,45,64,0.06506720039,780,120,117,81,5.67,0.5,1288,0
21.325,70.44027778,7.4,2750,0,354,645,62,134,0.06506720039,830,56,168,248,0.83,0.44,1843,0
21.60111111,70.57055556,7.6,660,0,226,71,31,12,0.06506720039,260,96,5,31,0.29,0.41,442,0
21.1333333,70.24861111,7.2,1250,0,305,177,67,64,0.06506720039,430,100,44,82,14.48,0.5,838,0
21.1041667,70.15277778,7.4,9450,0,305,3021,204,21,0.06506720039,2650,280,474,975,8.95,0.21,6332,0
21.1855556,70.04638889,7.6,700,0,232,78,29,22,0.06506720039,270,84,15,36,1.08,0.22,469,0
21.594641,70.505911,7.8,1540,0,317,262,76,75,0.06506720039,540,60,95,96,1.94,0.32,1032,0
21.47333333,70.3325,7.8,2000,0,659,245,75,40,0.06506720039,470,40,90,242,0.46,0.63,1340,0
21.359542,70.746497,8.2,760,0,220,135,44,3.1,0.06506720039,290,36,49,57,1.9,0.17,509,0
21.298322,70.703344,8.2,952,0,207,121,98,92,0.06506720039,380,60,56,55,0.54,0.28,638,0
20.900157,70.50823,7.7,1563,0,220,376,80,41,0.06506720039,500,100,61,138,1.6,0.39,1047,0
20.955074,70.402115,7.4,667,0,281,71,19,20,0.06506720039,280,76,22,38,1.5,0.53,447,0
20.98591,70.437244,7.8,1068,0,159,262,37,15,0.06506720039,250,76,15,130,0.32,0.93,716,0
21.04905,70.526153,7.7,758,0,329,78,26,14,0.06506720039,270,56,32,67,1,0.26,508,0
20.981547,70.763637,7.8,478,0,220,43,17,5.9,0.06506720039,190,44,19,34,0.35,0.34,320,0
20.899416,70.639029,7.8,979,0,256,142,51,42,0.06506720039,250,68,19,91,35,1.2,656,0
20.813637,70.697361,7.8,2188,0,305,581,87,44,0.06506720039,671,104,100,230,0.93,0.8,1466,0
20.822393,71.041565,8.1,2965,0,708,525,195,41,0.06506720039,580,72,97,469,2.8,2.2,1987,0
